Country,Country Code,Gold,Silver,Bronze,Total,Year,Host_City,Host_Country,GDP,Latitude Hemisphere,Longitude Hemisphere,Distance From Tokyo 1964,Distance From Mexico City 1968,Distance From Munich 1972,Distance From Montreal 1976,Distance From Moscow 1980,Distance From Los Angeles 1984,Distance From Seoul 1988,Distance From Barcelona 1992,Distance From Atlanta 1996,Distance From Sydney 2000,Distance From Athens 2004,Distance From Beijing 2008,Distance From London 2012,Distance From Rio de Janeiro 2016,Distance From Tokyo 2020,Population,Life Expectancy
South Korea,KOR,6,6,7,19,1984,Los Angeles,USA,97510235986.0,North,East,726.745582,12380.98084,6318.972954,11047.48495,5025.941222,13364.69711,0.0,6794.252899,11517.21381,5093.35796,5626.014846,583.2324219,6977.307506,10153.1711,726.745582,40405956.0,68.19512195
Venezuela,VEN,0,0,3,3,1984,Los Angeles,USA,60010285714.0,North,West,11393.90381,1880.336481,5001.499562,2478.228765,6472.067202,3263.545939,10704.02322,4322.067839,1888.620258,12274.09993,5262.688568,10180.21662,4605.444286,2623.070951,11393.90381,16876703.0,69.497
Nigeria,NGA,0,1,1,2,1984,Los Angeles,USA,73484359521.0,North,East,7455.2043,5852.586799,2707.220472,5177.672048,3597.034241,7069.267805,6793.105494,2249.106833,5289.456754,8396.028256,2156.816829,6306.356951,2946.992593,3530.265723,7455.2043,81448757.0,46.106
Denmark,DNK,0,3,3,6,1984,Los Angeles,USA,59105236854.0,North,East,7083.182967,6577.621265,503.3433966,4848.347592,1365.548789,7280.410025,6357.022542,1115.420174,5488.84764,9769.383098,1371.93215,5775.38342,731.9401851,6195.975155,7083.182967,5111619.0,74.56219512
Austria,AUT,1,1,1,3,1984,Los Angeles,USA,67985344887.0,North,East,6793.721355,6605.111663,253.3477585,5014.993429,1259.691378,7405.428284,6067.31086,896.7318071,5582.07332,9291.326525,827.7513878,5490.842169,916.0407101,5876.69563,6793.721355,7561434.0,73.61219512
Spain,ESP,1,2,2,5,1984,Los Angeles,USA,172103000000.0,North,West,7819.620505,5420.702243,984.7989516,3954.379329,2462.222497,6282.117102,7098.16938,316.7736503,4442.023961,9872.403926,1480.791019,6533.068547,788.7473852,4867.835698,7819.620505,38330364.0,76.29536585
Portugal,PRT,1,0,2,3,1984,Los Angeles,USA,25217969050.0,North,West,8123.950193,5089.808385,1313.294218,3661.993235,2795.165071,5966.667892,7404.156141,648.5692576,4123.443749,10074.42094,1778.72057,6841.824291,1020.472164,4622.586205,8123.950193,9996232.0,72.51463415
Greece,GRC,0,1,1,2,1984,Los Angeles,USA,48020024184.0,North,East,6345.328465,6810.891865,975.5308696,5434.583731,1447.592636,7740.653077,5626.014846,1191.790232,5894.536993,8541.551997,0.0,5065.428159,1597.437237,5536.760728,6345.328465,9895801.0,74.82912195
New Zealand,NZL,8,1,2,11,1984,Los Angeles,USA,21665975319.0,South,East,5633.175948,15503.5678,10817.74758,14901.59198,10022.90373,16800.39824,6014.854576,10995.36704,15046.35597,1363.195659,9872.18615,6413.627205,11467.58087,11946.09641,5633.175948,3227100.0,74.37073171
Brazil,BRA,1,5,2,8,1984,Los Angeles,USA,209024000000.0,South,West,10813.30687,3693.901245,5448.606277,4476.475126,6740.502771,5154.81836,10177.04931,4770.980821,3947.154167,10926.30828,5332.087331,9713.367679,5290.56266,566.3305179,10813.30687,132383569.0,64.039
Iceland,ISL,0,0,1,1,1984,Los Angeles,USA,2864441356.0,North,West,9018.393459,5245.729781,2118.677261,3215.614734,3271.92983,5670.837692,8293.256423,2033.618074,4018.727677,11605.73176,3064.859153,7710.615495,1467.43064,6118.429833,9018.393459,239511.0,77.57658537
Zambia,ZMB,0,0,1,1,1984,Los Angeles,USA,2739444444.0,South,East,7029.923361,7344.414132,4468.636382,7047.350434,4906.097072,8687.964851,6480.555997,4159.76116,7014.913711,6839.882331,3656.356506,6117.207457,4849.277754,3930.040716,7029.923361,6701547.0,52.87
Canada,CAN,10,18,16,44,1984,Los Angeles,USA,355373000000.0,North,West,11761.45096,2215.276999,4754.326022,17.85869536,6197.178624,2462.817034,11038.50466,4244.864848,933.6493084,13525.33305,5424.860063,10469.8937,4136.60053,5023.162376,11761.45096,25607053.0,76.21707317
Sweden,SWE,2,11,6,19,1984,Los Angeles,USA,109201000000.0,North,East,6835.886355,6965.445894,840.4798442,5197.250774,1086.142946,7640.034601,6112.028674,1503.346409,5861.369457,9701.36456,1520.955875,5528.906607,1125.672413,6577.588157,6835.886355,8336605.0,76.81585366
Germany,DEU,17,19,23,59,1984,Los Angeles,USA,725111000000.0,North,East,6996.068785,6545.682423,301.1745652,4872.216869,1333.68983,7288.952903,6269.358107,965.7531077,5482.642461,9596.458151,1158.608736,5689.498045,729.0707867,6034.938596,6996.068785,77858685.0,73.78292683
Ireland,IRL,0,1,0,1,1984,Los Angeles,USA,20109800239.0,North,West,8052.048537,5591.358463,1029.328577,3827.483511,2380.123695,6261.276638,7325.311382,933.5597391,4477.958742,10484.38373,1943.408303,6746.474883,356.6840144,5627.79411,8052.048537,3532423.0,73.53146341
Cameroon,CMR,0,0,1,1,1984,Los Angeles,USA,7311937457.0,North,East,7348.660545,6127.096655,3080.1856,5560.694684,3855.419933,7382.937537,6706.052031,2662.023508,5628.709012,8059.947265,2442.711544,6241.863267,3360.488213,3490.276702,7348.660545,9757849.0,52.997
Norway,NOR,0,1,2,3,1984,Los Angeles,USA,62057955033.0,North,East,7244.041585,6597.650799,789.7038605,4795.701101,1495.737142,7243.423025,6519.505523,1332.100898,5475.721879,10030.82783,1674.107286,5936.572968,804.9982622,6398.772343,7244.041585,4140099.0,76.22439024
Belgium,BEL,1,1,2,4,1984,Los Angeles,USA,83349530159.0,North,East,7465.484676,6040.287639,434.360945,4369.683402,1841.269434,6781.550401,6738.867833,639.0615885,4973.865723,9915.550018,1378.649126,6161.241147,239.8764718,5688.273316,7465.484676,9855372.0,74.40487805
Pakistan,PAK,1,0,0,1,1984,Los Angeles,USA,31151825467.0,North,East,3637.034033,9453.034885,3509.592327,8160.205178,2474.85735,10447.26027,2928.095499,3911.822101,8598.987912,6303.435514,2725.64684,2391.214242,4181.826383,7442.963227,3637.034033,89213708.0,58.213
Ivory Coast,CIV,0,1,0,1,1984,Los Angeles,USA,6841638715.0,North,West,8159.657354,5203.020638,3015.860661,4692.579355,4099.060247,6459.86403,7497.111465,2441.220472,4716.685728,8981.020009,2654.338699,7008.430955,3108.625272,2901.725866,8159.657354,9530103.0,52.645
France,FRA,5,7,16,28,1984,Los Angeles,USA,530684000000.0,North,East,7556.722473,5888.888745,512.7500361,4251.284526,1978.195758,6651.180373,6830.559027,490.5927345,4836.118307,9924.52168,1383.900092,6254.959901,232.4547227,5514.953898,7556.722473,56337675.0,75.0
Peru,PER,0,1,0,1,1984,Los Angeles,USA,17599660054.0,South,West,12278.06759,2467.909276,6372.683958,3968.26819,7787.271571,3894.401033,11620.36148,5679.504605,3182.432713,12551.3107,6464.508904,11132.26783,6063.442516,1994.627206,12278.06759,19319746.0,62.542
Algeria,DZA,0,0,2,2,1984,Los Angeles,USA,53698278906.0,North,East,7456.896815,5704.149817,932.3905579,4339.752748,2285.897025,6626.090244,6739.011809,346.5107264,4779.414037,9430.625168,1115.622926,6180.126784,1044.929886,4809.973012,7456.896815,21763578.0,63.13
Italy,ITA,14,6,12,32,1984,Los Angeles,USA,437888000000.0,North,East,6965.601489,6274.19585,457.0470028,4804.931403,1671.339599,7145.651673,6242.692758,552.6489258,5306.023586,9198.202937,668.2934621,5675.147349,955.5483159,5380.124554,6965.601489,56576718.0,75.3895122
Australia,AUS,4,8,12,24,1984,Los Angeles,USA,193242000000.0,South,East,4913.860856,14055.77408,9451.196419,13465.23217,8731.68456,15352.68274,5148.457275,9600.139656,13601.02612,149.5349657,8495.174416,5456.561157,10092.5908,10526.41725,4913.860856,15544000.0,75.38780488
Mexico,MEX,2,3,1,6,1984,Los Angeles,USA,184261000000.0,North,West,13085.252,0.0,6364.498871,2223.440536,7858.834811,1463.565709,12380.98084,5737.41412,1285.687064,14148.98813,6810.891865,11838.94405,5845.682904,4215.212132,13085.252,74352631.0,68.38
Jamaica,JAM,0,1,2,3,1984,Los Angeles,USA,2373566957.0,North,West,11864.67244,1236.734863,5239.56893,1898.1793,6731.907691,2533.832026,11163.59644,4588.574072,1169.020544,12937.85528,5622.544845,10625.97286,4766.776959,3358.553399,11864.67244,2306367.0,71.614
United Kingdom,GBR,5,11,21,37,1984,Los Angeles,USA,461487000000.0,North,West,7703.968961,5845.682904,672.7454291,4143.169369,2061.448482,6562.775491,6977.307506,698.5270459,4762.576734,10138.65589,1597.437237,6399.345926,0.0,5639.574982,7703.968961,56422072.0,74.77804878
Finland,FIN,4,2,6,12,1984,Los Angeles,USA,52888800950.0,North,East,6482.014653,7342.902147,1107.26077,5585.00046,746.7650967,8027.166633,5760.047999,1798.184727,6245.868187,9463.102949,1559.687466,5176.841428,1497.672561,6834.621887,6482.014653,4881803.0,74.51902439
United States,USA,83,61,30,174,1984,Los Angeles,USA,4037610000000.0,North,West,11833.78191,1869.600659,4870.776436,393.7513086,6335.992081,2286.644968,11113.64006,4324.97978,585.3087828,13461.12519,5488.563128,10549.84124,4276.178945,4712.161285,11833.78191,235825000.0,74.56341463
Thailand,THA,0,1,0,1,1984,Los Angeles,USA,41797592963.0,North,East,2639.858405,10894.46673,5403.220327,9853.859942,4495.759578,12016.64593,2181.014183,5694.182572,10180.8894,4288.053365,4513.761544,1999.226818,6071.491062,8225.412151,2639.858405,51094870.0,67.128
Mongolia,MNG,0,0,1,1,1988,Seoul,KOR,3204461567.0,,,,,,,,,,,,,,,,,,2089709.0,59.655
Senegal,SEN,0,1,0,1,1988,Seoul,KOR,6418419798.0,North,West,8694.515338,4479.395878,2814.939579,3840.358843,4116.622918,5677.172157,8009.31756,2147.690819,3900.782268,9783.014654,2742.591325,7493.25329,2722.298735,2933.06831,8694.515338,7086624.0,56.283
Czech Republic,CZE,3,3,2,8,1988,Seoul,KOR,,North,East,6919.883139,6543.201481,195.3102579,4912.576129,1316.716415,7316.092586,6193.192198,888.7777768,5500.322491,9459.116375,997.4287297,5615.044697,784.3676487,5929.78558,6919.883139,10355276.0,71.64146341
U.S. Virgin Islands,VIR,0,1,0,1,1988,Seoul,KOR,,North,West,11214.83719,1887.120748,4641.939767,1976.639364,6128.940959,3128.08256,10514.79421,3979.061514,1523.817501,12316.91262,4988.277293,9978.731871,4199.78415,3068.24611,11214.83719,100952.0,73.71758537
Colombia,COL,0,0,1,1,1988,Seoul,KOR,39212550050.0,North,West,11864.03068,1711.573173,5564.846725,2841.333395,7028.492777,3168.141186,11181.17542,4881.775916,2107.092876,12575.93558,5794.551013,10665.31692,5179.650627,2523.667877,11864.03068,31822527.0,69.436
New Zealand,NZL,3,2,8,13,1988,Seoul,KOR,45176811594.0,South,East,5633.175948,15503.5678,10817.74758,14901.59198,10022.90373,16800.39824,6014.854576,10995.36704,15046.35597,1363.195659,9872.18615,6413.627205,11467.58087,11946.09641,5633.175948,3283400.0,74.42439024
Poland,POL,2,5,9,16,1988,Seoul,KOR,,North,East,6576.973455,6939.959522,583.3806667,5292.530216,921.6337616,7704.178945,5850.361181,1267.358097,5892.391824,9260.500138,1012.895054,5269.89858,1150.557363,6251.798635,6576.973455,37824487.0,71.33170732
Netherlands,NLD,2,2,5,9,1988,Seoul,KOR,261911000000.0,North,East,7464.868875,6100.454387,476.857991,4398.587044,1805.151258,6820.142453,6738.124602,759.0711687,5020.216004,9971.22218,1445.327934,6159.095349,257.7032749,5802.288098,7464.868875,14760094.0,76.8902439
Costa Rica,CRI,0,1,0,1,1988,Seoul,KOR,4614629898.0,North,West,12344.75496,1058.91033,5859.685913,2523.091473,7344.727848,2519.673322,11652.89483,5193.536804,1669.922202,13188.36147,6178.902752,11126.26561,5416.884059,3160.880263,12344.75496,2960932.0,75.243
Philippines,PHL,0,0,1,1,1988,Seoul,KOR,37885440419.0,North,East,1786.862655,12022.02305,6411.903478,10945.14542,5374.282366,13132.68213,1609.060942,6750.101756,11293.49439,3716.69669,5560.67032,1755.028646,7084.276047,9326.043045,1786.862655,58794999.0,65.534
Turkey,TUR,1,1,0,2,1988,Seoul,KOR,90852814005.0,North,East,5854.362249,7323.680996,1288.161151,5916.970404,1126.75407,8241.393981,5132.585459,1662.950453,6396.995306,8225.602013,514.4316727,4567.836208,1956.556338,5972.752883,5854.362249,52053764.0,63.266
France,FRA,6,4,6,16,1988,Seoul,KOR,1018850000000.0,North,East,7556.722473,5888.888745,512.7500361,4251.284526,1978.195758,6651.180373,6830.559027,490.5927345,4836.118307,9924.52168,1383.900092,6254.959901,232.4547227,5514.953898,7556.722473,57627106.0,76.1
Norway,NOR,2,3,0,5,1988,Seoul,KOR,101900000000.0,North,East,7244.041585,6597.650799,789.7038605,4795.701101,1495.737142,7243.423025,6519.505523,1332.100898,5475.721879,10030.82783,1674.107286,5936.572968,804.9982622,6398.772343,7244.041585,4209488.0,76.2204878
Finland,FIN,1,1,2,4,1988,Seoul,KOR,109059000000.0,North,East,6482.014653,7342.902147,1107.26077,5585.00046,746.7650967,8027.166633,5760.047999,1798.184727,6245.868187,9463.102949,1559.687466,5176.841428,1497.672561,6834.621887,6482.014653,4946481.0,74.57707317
Romania,ROU,7,11,6,24,1988,Seoul,KOR,40809523810.0,North,East,6228.097396,7051.390932,836.5549451,5551.830735,986.0993251,7912.450468,5502.835655,1321.603461,6076.26716,8702.45026,483.5920645,4930.228611,1509.274895,5982.617879,6228.097396,23057662.0,69.38804878
Brazil,BRA,1,2,3,6,1988,Seoul,KOR,330397000000.0,South,West,10813.30687,3693.901245,5448.606277,4476.475126,6740.502771,5154.81836,10177.04931,4770.980821,3947.154167,10926.30828,5332.087331,9713.367679,5290.56266,566.3305179,10813.30687,143627505.0,65.553
Belgium,BEL,0,0,2,2,1988,Seoul,KOR,162299000000.0,North,East,7465.484676,6040.287639,434.360945,4369.683402,1841.269434,6781.550401,6738.867833,639.0615885,4973.865723,9915.550018,1378.649126,6161.241147,239.8764718,5688.273316,7465.484676,9901664.0,75.56585366
Mexico,MEX,0,0,2,2,1988,Seoul,KOR,181612000000.0,North,West,13085.252,0.0,6364.498871,2223.440536,7858.834811,1463.565709,12380.98084,5737.41412,1285.687064,14148.98813,6810.891865,11838.94405,5845.682904,4215.212132,13085.252,80788725.0,70.062
Peru,PER,0,1,0,1,1988,Seoul,KOR,15439408447.0,South,West,12278.06759,2467.909276,6372.683958,3968.26819,7787.271571,3894.401033,11620.36148,5679.504605,3182.432713,12551.3107,6464.508904,11132.26783,6063.442516,1994.627206,12278.06759,21153462.0,64.949
Australia,AUS,3,6,5,14,1988,Seoul,KOR,235658000000.0,South,East,4913.860856,14055.77408,9451.196419,13465.23217,8731.68456,15352.68274,5148.457275,9600.139656,13601.02612,149.5349657,8495.174416,5456.561157,10092.5908,10526.41725,4913.860856,16532200.0,76.43268293
Bulgaria,BGR,10,12,13,35,1988,Seoul,KOR,22555941176.0,North,East,6375.306752,6867.582742,746.1045184,5396.946733,1183.851472,7744.343588,5651.319682,1150.565063,5905.006345,8751.145986,336.3297301,5081.741124,1410.485748,5785.377927,6375.306752,8981446.0,71.60439024
Pakistan,PAK,0,0,1,1,1988,Seoul,KOR,38472742808.0,North,East,3637.034033,9453.034885,3509.592327,8160.205178,2474.85735,10447.26027,2928.095499,3911.822101,8598.987912,6303.435514,2725.64684,2391.214242,4181.826383,7442.963227,3637.034033,101389603.0,59.493
Austria,AUT,1,0,0,1,1988,Seoul,KOR,133339000000.0,North,East,6793.721355,6605.111663,253.3477585,5014.993429,1259.691378,7405.428284,6067.31086,896.7318071,5582.07332,9291.326525,827.7513878,5490.842169,916.0407101,5876.69563,6793.721355,7585317.0,75.21707317
Netherlands Antilles,ANT,0,1,0,1,1988,Seoul,KOR,,North,West,11508.37538,1715.912292,5055.514252,2335.760321,6533.414895,3087.4549,10815.66088,4381.611257,1716.97446,12433.94548,5346.833016,10288.41253,4640.021522,2794.261741,11508.37538,,
Denmark,DNK,2,1,1,4,1988,Seoul,KOR,115553000000.0,North,East,7083.182967,6577.621265,503.3433966,4848.347592,1365.548789,7280.410025,6357.022542,1115.420174,5488.84764,9769.383098,1371.93215,5775.38342,731.9401851,6195.975155,7083.182967,5129516.0,74.77170732
United States,USA,36,31,27,94,1988,Seoul,KOR,5236440000000.0,North,West,11833.78191,1869.600659,4870.776436,393.7513086,6335.992081,2286.644968,11113.64006,4324.97978,585.3087828,13461.12519,5488.563128,10549.84124,4276.178945,4712.161285,11833.78191,244499000.0,74.76585366
Chile,CHL,0,1,0,1,1988,Seoul,KOR,26040229793.0,South,West,12415.56917,3943.105473,7180.963618,5440.38823,8488.879813,5327.327679,11801.49769,6497.463883,4684.999751,12099.98408,7081.086651,11359.06185,6987.801141,1648.784529,12415.56917,12847712.0,72.872
China,CHN,5,11,12,28,1988,Seoul,KOR,312354000000.0,North,East,1307.919095,11838.94405,5742.91982,10478.68767,4442.798842,12806.04837,583.2324219,6227.332336,10959.52333,5414.624777,5065.428159,0.0,6399.345926,9710.393207,1307.919095,1101630000.0,68.954
Thailand,THA,0,0,1,1,1988,Seoul,KOR,61667199835.0,North,East,2639.858405,10894.46673,5403.220327,9853.859942,4495.759578,12016.64593,2181.014183,5694.182572,10180.8894,4288.053365,4513.761544,1999.226818,6071.491062,8225.412151,2639.858405,54891520.0,69.745
Switzerland,CHE,0,2,2,4,1988,Seoul,KOR,215722000000.0,North,East,7266.357867,6107.655201,258.5672781,4524.212451,1752.428395,6907.624089,6540.694834,453.4240889,5082.748138,9621.005369,1079.457978,5966.725534,519.0484637,5529.126736,7266.357867,6593386.0,77.22658537
Italy,ITA,6,4,4,14,1988,Seoul,KOR,891609000000.0,North,East,6965.601489,6274.19585,457.0470028,4804.931403,1671.339599,7145.651673,6242.692758,552.6489258,5306.023586,9198.202937,668.2934621,5675.147349,955.5483159,5380.124554,6965.601489,56629288.0,76.37073171
Germany,DEU,11,14,15,40,1988,Seoul,KOR,1401230000000.0,North,East,6996.068785,6545.682423,301.1745652,4872.216869,1333.68983,7288.952903,6269.358107,965.7531077,5482.642461,9596.458151,1158.608736,5689.498045,729.0707867,6034.938596,6996.068785,78144619.0,74.7924878
Spain,ESP,1,1,2,4,1988,Seoul,KOR,376160000000.0,North,West,7819.620505,5420.702243,984.7989516,3954.379329,2462.222497,6282.117102,7098.16938,316.7736503,4442.023961,9872.403926,1480.791019,6533.068547,788.7473852,4867.835698,7819.620505,38766939.0,76.74707317
Greece,GRC,0,0,1,1,1988,Seoul,KOR,76261277925.0,North,East,6345.328465,6810.891865,975.5308696,5434.583731,1447.592636,7740.653077,5626.014846,1191.790232,5894.536993,8541.551997,0.0,5065.428159,1597.437237,5536.760728,6345.328465,10036983.0,75.8912439
Argentina,ARG,0,1,1,2,1988,Seoul,KOR,126207000000.0,South,West,11979.01152,4384.369678,7015.770065,5707.86309,8266.251627,5802.97869,11379.30611,6344.970262,5013.546431,11533.28485,6837.56043,10951.96318,6877.436486,1303.080956,11979.01152,31668939.0,71.186
Indonesia,IDN,0,1,0,1,1988,Seoul,KOR,84300174477.0,South,East,3406.248969,11355.18349,6387.855745,10554.00055,5678.433253,12574.16717,3189.364766,6566.579415,10773.73946,3108.08264,5439.40113,3194.294807,7035.269185,8248.577302,3406.248969,174975953.0,61.512
Jamaica,JAM,0,2,0,2,1988,Seoul,KOR,3828310735.0,North,West,11864.67244,1236.734863,5239.56893,1898.1793,6731.907691,2533.832026,11163.59644,4588.574072,1169.020544,12937.85528,5622.544845,10625.97286,4766.776959,3358.553399,11864.67244,2389415.0,72.601
Japan,JPN,4,3,7,14,1988,Seoul,KOR,3071680000000.0,North,East,0.0,13085.252,7045.276098,11770.5309,5749.743872,14081.24317,726.745582,7516.740596,12233.30886,4840.279356,6345.328465,1307.919095,7703.968961,10769.55288,0.0,122578000.0,78.39926829
Germany,DEU,37,35,30,102,1988,Seoul,KOR,1401230000000.0,North,East,6996.068785,6545.682423,301.1745652,4872.216869,1333.68983,7288.952903,6269.358107,965.7531077,5482.642461,9596.458151,1158.608736,5689.498045,729.0707867,6034.938596,6996.068785,78144619.0,74.7924878
South Korea,KOR,12,10,11,33,1988,Seoul,KOR,199591000000.0,North,East,726.745582,12380.98084,6318.972954,11047.48495,5025.941222,13364.69711,0.0,6794.252899,11517.21381,5093.35796,5626.014846,583.2324219,6977.307506,10153.1711,726.745582,42031247.0,70.54878049
Yugoslavia,YUG,3,4,5,12,1988,Seoul,KOR,,,,,,,,,,,,,,,,,,,,
United Kingdom,GBR,5,10,9,24,1988,Seoul,KOR,910123000000.0,North,West,7703.968961,5845.682904,672.7454291,4143.169369,2061.448482,6562.775491,6977.307506,698.5270459,4762.576734,10138.65589,1597.437237,6399.345926,0.0,5639.574982,7703.968961,56928327.0,75.3804878
Sweden,SWE,0,4,7,11,1988,Seoul,KOR,206987000000.0,North,East,6835.886355,6965.445894,840.4798442,5197.250774,1086.142946,7640.034601,6112.028674,1503.346409,5861.369457,9701.36456,1520.955875,5528.906607,1125.672413,6577.588157,6835.886355,8436489.0,76.97926829
Morocco,MAR,1,0,2,3,1988,Seoul,KOR,25705296184.0,,,,,,,,,,,,,,,,,,23903592.0,63.535
Canada,CAN,3,2,5,10,1988,Seoul,KOR,507354000000.0,North,West,11761.45096,2215.276999,4754.326022,17.85869536,6197.178624,2462.817034,11038.50466,4244.864848,933.6493084,13525.33305,5424.860063,10469.8937,4136.60053,5023.162376,11761.45096,26791747.0,76.9195122
Russia,RUS,55,31,46,132,1988,Seoul,KOR,554713000000.0,North,East,5749.743872,7858.834811,1494.716181,6203.539526,0.0,8622.58711,5025.941222,2151.918173,6813.557769,8753.948266,1447.592636,4442.798842,2061.448482,6968.657073,5749.743872,146857000.0,69.46439024
Djibouti,DJI,0,0,1,1,1988,Seoul,KOR,395794538.6,North,East,5584.958384,7735.297672,3055.168422,6854.818902,3072.961158,8902.248232,4945.827852,3025.049685,7086.606259,6711.577578,2095.318275,4492.640358,3611.949139,5217.976915,5584.958384,528993.0,56.271
Portugal,PRT,1,0,0,1,1988,Seoul,KOR,56347250696.0,North,West,8123.950193,5089.808385,1313.294218,3661.993235,2795.165071,5966.667892,7404.156141,648.5692576,4123.443749,10074.42094,1778.72057,6841.824291,1020.472164,4622.586205,8123.950193,10019610.0,73.71463415
Hungary,HUN,11,6,6,23,1988,Seoul,KOR,,North,East,6633.310595,6735.868911,412.0573183,5167.728171,1146.897866,7551.497706,5907.045601,1007.55419,5724.574891,9134.012281,711.9441677,5331.207495,1080.010402,5916.371169,6633.310595,10596487.0,70.02341463
Kenya,KEN,5,2,2,9,1988,Seoul,KOR,8355380879.0,South,East,6180.346418,7534.91925,3663.960524,6913.67838,3907.068774,8790.313582,5586.393433,3483.27501,7025.59752,6658.214324,2766.641737,5180.772477,4137.111253,4600.32871,6180.346418,22153685.0,58.422
Iran,IRN,0,1,0,1,1988,Seoul,KOR,123058000000.0,North,East,4823.938424,8287.941294,2339.062511,6961.793767,1576.846874,9257.380845,4107.946907,2713.733005,7409.591644,7254.599739,1527.219054,3554.869761,3011.220363,6543.354447,4823.938424,53077312.0,60.516
Suriname,SUR,1,0,0,1,1988,Seoul,KOR,1161000000.0,North,West,10835.34057,2581.688953,4680.9407,2977.711931,6112.175462,3970.588513,10155.38803,3988.780861,2521.333962,11587.45361,4826.843405,9643.554852,4364.339637,2065.679109,10835.34057,388877.0,67.233
Romania,ROU,4,6,8,18,1992,Barcelona,ESP,25121666667.0,North,East,6228.097396,7051.390932,836.5549451,5551.830735,986.0993251,7912.450468,5502.835655,1321.603461,6076.26716,8702.45026,483.5920645,4930.228611,1509.274895,5982.617879,6228.097396,22794284.0,69.78439024
South Korea,KOR,12,5,12,29,1992,Barcelona,ESP,355525000000.0,North,East,726.745582,12380.98084,6318.972954,11047.48495,5025.941222,13364.69711,0.0,6794.252899,11517.21381,5093.35796,5626.014846,583.2324219,6977.307506,10153.1711,726.745582,43747962.0,72.49756098
Mexico,MEX,0,1,0,1,1992,Barcelona,ESP,363158000000.0,North,West,13085.252,0.0,6364.498871,2223.440536,7858.834811,1463.565709,12380.98084,5737.41412,1285.687064,14148.98813,6810.891865,11838.94405,5845.682904,4215.212132,13085.252,87075136.0,71.61
South Africa,ZAF,0,2,0,2,1992,Barcelona,ESP,134545000000.0,South,East,7407.288549,7598.50293,5156.713371,7484.112658,5604.115564,8983.854273,6899.294383,4824.036858,7376.785794,6745.83847,4355.817524,6575.494888,5517.89968,3896.346639,7407.288549,38672611.0,63.247
Estonia,EST,1,0,1,2,1992,Barcelona,ESP,,North,East,6494.667894,7290.647702,1039.512225,5544.152061,749.304823,7983.700543,5771.79885,1731.29871,6198.651988,9441.214208,1494.198241,5188.569733,1444.977146,6764.458204,6494.667894,1533091.0,68.86341463
Germany,DEU,33,21,28,82,1992,Barcelona,ESP,2131570000000.0,North,East,6996.068785,6545.682423,301.1745652,4872.216869,1333.68983,7288.952903,6269.358107,965.7531077,5482.642461,9596.458151,1158.608736,5689.498045,729.0707867,6034.938596,6996.068785,80624598.0,75.8195122
Greece,GRC,2,0,0,2,1992,Barcelona,ESP,116225000000.0,North,East,6345.328465,6810.891865,975.5308696,5434.583731,1447.592636,7740.653077,5626.014846,1191.790232,5894.536993,8541.551997,0.0,5065.428159,1597.437237,5536.760728,6345.328465,10399061.0,77.38292683
Latvia,LVA,0,2,1,3,1992,Barcelona,ESP,,North,East,6472.043995,7201.990217,894.9542101,5493.861259,728.3641535,7923.971011,5747.233569,1588.211167,6127.493309,9332.163291,1307.988135,5164.406898,1364.93856,6597.559388,6472.043995,2614338.0,68.39609756
Ghana,GHA,0,0,1,1,1992,Barcelona,ESP,6413901602.0,North,West,7910.031782,5491.377936,3020.137658,4967.161993,4015.260288,6749.666377,7253.524372,2489.739004,5004.068073,8691.383116,2568.023923,6772.235236,3174.690047,3056.577938,7910.031782,15653345.0,57.462
Morocco,MAR,1,1,1,3,1992,Barcelona,ESP,33711069431.0,,,,,,,,,,,,,,,,,,25711410.0,65.715
Denmark,DNK,1,1,4,6,1992,Barcelona,ESP,152916000000.0,North,East,7083.182967,6577.621265,503.3433966,4848.347592,1365.548789,7280.410025,6357.022542,1115.420174,5488.84764,9769.383098,1371.93215,5775.38342,731.9401851,6195.975155,7083.182967,5171370.0,75.19414634
Finland,FIN,1,2,2,5,1992,Barcelona,ESP,112533000000.0,North,East,6482.014653,7342.902147,1107.26077,5585.00046,746.7650967,8027.166633,5760.047999,1798.184727,6245.868187,9463.102949,1559.687466,5176.841428,1497.672561,6834.621887,6482.014653,5041992.0,75.45536585
Mongolia,MNG,0,0,2,2,1992,Barcelona,ESP,1317611864.0,,,,,,,,,,,,,,,,,,2243495.0,60.67
Australia,AUS,7,9,11,27,1992,Barcelona,ESP,324884000000.0,South,East,4913.860856,14055.77408,9451.196419,13465.23217,8731.68456,15352.68274,5148.457275,9600.139656,13601.02612,149.5349657,8495.174416,5456.561157,10092.5908,10526.41725,4913.860856,17495000.0,77.37804878
Suriname,SUR,0,0,1,1,1992,Barcelona,ESP,404600000.0,North,West,10835.34057,2581.688953,4680.9407,2977.711931,6112.175462,3970.588513,10155.38803,3988.780861,2521.333962,11587.45361,4826.843405,9643.554852,4364.339637,2065.679109,10835.34057,420658.0,67.59
Thailand,THA,0,0,1,1,1992,Barcelona,ESP,111453000000.0,North,East,2639.858405,10894.46673,5403.220327,9853.859942,4495.759578,12016.64593,2181.014183,5694.182572,10180.8894,4288.053365,4513.761544,1999.226818,6071.491062,8225.412151,2639.858405,57811025.0,70.281
